"Answer.time_in_minutes","image","audio","response","workerid","Answer.condition","slide_type","slide_number","speaker_cond"
12.3765333333333,"","","[0, 'Empty']",3,"age1-anyQUD","comprehension_check_1",4,"r1-age1-any"
12.3765333333333,"","","[0, 'Jam']",3,"age1-anyQUD","comprehension_check_1",4,"r1-age1-any"
12.3765333333333,"13","none.wav","[6211, 'No']",3,"age1-anyQUD","practice_trial",6,"r1-age1-any"
12.3765333333333,"13","all.wav","[3439, 'Yes']",3,"age1-anyQUD","practice_trial",7,"r1-age1-any"
12.3765333333333,"0","all.wav","[1714, 'No']",3,"age1-anyQUD","practice_trial",8,"r1-age1-any"
12.3765333333333,"0","none.wav","[1721, 'Yes']",3,"age1-anyQUD","practice_trial",9,"r1-age1-any"
12.3765333333333,"5","four.wav","[2282, 'No']",3,"age1-anyQUD","trial_1",11,"r1-age1-any"
12.3765333333333,"8","eight.wav","[2285, 'Yes']",3,"age1-anyQUD","trial_1",12,"r1-age1-any"
12.3765333333333,"13","eight.wav","[1732, 'No']",3,"age1-anyQUD","trial_1",13,"r1-age1-any"
12.3765333333333,"13","summa.wav","[3945, 'No']",3,"age1-anyQUD","trial_1",14,"r1-age1-any"
12.3765333333333,"5","all.wav","[1756, 'No']",3,"age1-anyQUD","trial_1",15,"r1-age1-any"
12.3765333333333,"8","eleven.wav","[3391, 'No']",3,"age1-anyQUD","trial_1",16,"r1-age1-any"
12.3765333333333,"2","two.wav","[1557, 'Yes']",3,"age1-anyQUD","trial_1",17,"r1-age1-any"
12.3765333333333,"8","none.wav","[2125, 'No']",3,"age1-anyQUD","trial_1",18,"r1-age1-any"
